@relation titanic

@attribute class {1st,2nd,3rd,crew}
@attribute age numeric
@attribute sex {male,female}
@attribute survived {yes,no}

@data
crew,67,male,yes
crew,65,male,yes
crew,67,male,yes
crew,59,male,yes
crew,79,male,yes
crew,81,male,yes
crew,82,male,yes
crew,73,male,yes
crew,55,male,yes
crew,81,male,yes
crew,75,male,yes
crew,80,male,yes
crew,65,male,yes
crew,79,male,yes
crew,36,male,yes
crew,43,male,yes
crew,71,male,yes
crew,60,male,yes
crew,49,male,yes
crew,51,male,yes
crew,49,male,yes
crew,69,male,yes
crew,73,male,yes
crew,80,male,yes
crew,41,male,yes
crew,44,male,yes
crew,79,male,yes
crew,83,male,yes
crew,39,male,yes
crew,76,male,yes
crew,51,male,yes
crew,46,male,yes
crew,38,male,yes
crew,77,male,yes
crew,42,male,yes
crew,47,male,yes
crew,40,male,yes
crew,40,male,yes
crew,63,male,yes
crew,73,male,yes
crew,44,male,yes
crew,63,male,yes
crew,79,male,yes
crew,64,male,yes
crew,59,male,yes
crew,78,male,yes
crew,48,male,yes
crew,63,male,yes
crew,79,male,yes
crew,40,male,yes
crew,82,male,yes
crew,53,male,yes
crew,53,male,yes
crew,83,male,yes
crew,54,male,yes
crew,48,male,yes
crew,56,male,yes
crew,74,male,yes
crew,44,male,yes
crew,58,male,yes
crew,48,male,yes
crew,74,male,yes
crew,61,male,yes
crew,83,male,yes
crew,43,male,yes
crew,61,male,yes
crew,72,male,yes
crew,62,male,yes
crew,52,male,yes
crew,49,male,yes
crew,41,male,yes
crew,41,male,yes
crew,52,male,yes
crew,69,male,yes
crew,75,male,yes
crew,80,male,yes
crew,44,male,yes
crew,65,male,yes
crew,51,male,yes
crew,41,male,yes
crew,59,male,yes
crew,62,male,yes
crew,55,male,yes
crew,71,male,yes
crew,63,male,yes
crew,51,male,yes
crew,52,male,yes
crew,71,male,yes
crew,64,male,yes
crew,77,male,yes
crew,69,male,yes
crew,66,male,yes
crew,79,male,yes
crew,75,male,yes
crew,43,male,yes
crew,70,male,yes
crew,64,male,yes
crew,80,male,yes
crew,45,male,yes
crew,47,male,yes
crew,37,male,yes
crew,56,male,yes
crew,52,male,yes
crew,82,male,yes
crew,60,male,yes
crew,46,male,yes
crew,42,male,yes
crew,67,male,yes
crew,83,male,yes
crew,70,male,yes
crew,57,male,yes
crew,48,male,yes
crew,71,male,yes
crew,77,male,yes
crew,54,male,yes
crew,77,male,yes
crew,45,male,yes
crew,37,male,yes
crew,45,male,yes
crew,64,male,yes
crew,68,male,yes
crew,46,male,yes
crew,46,male,yes
crew,82,male,yes
crew,49,male,yes
crew,52,male,yes
crew,58,male,yes
crew,39,male,yes
crew,72,male,yes
crew,75,male,yes
crew,48,male,yes
crew,53,male,yes
crew,74,male,yes
crew,82,male,yes
crew,55,male,yes
crew,70,male,yes
crew,56,male,yes
crew,57,male,yes
crew,38,male,yes
crew,63,male,no
crew,47,male,no
crew,51,male,no
crew,80,male,no
crew,46,male,no
crew,56,male,no
crew,83,male,no
crew,73,male,no
crew,59,male,no
crew,82,male,no
crew,51,male,no
crew,62,male,no
crew,49,male,no
crew,45,male,no
crew,73,male,no
crew,68,male,no
crew,67,male,no
crew,43,male,no
crew,51,male,no
crew,67,male,no
crew,72,male,no
crew,53,male,no
crew,42,male,no
crew,36,male,no
crew,61,male,no
crew,67,male,no
crew,59,male,no
crew,56,male,no
crew,49,male,no
crew,82,male,no
crew,67,male,no
crew,81,male,no
crew,63,male,no
crew,62,male,no
crew,75,male,no
crew,76,male,no
crew,77,male,no
crew,62,male,no
crew,51,male,no
crew,40,male,no
crew,40,male,no
crew,41,male,no
crew,55,male,no
crew,62,male,no
crew,47,male,no
crew,42,male,no
crew,54,male,no
crew,64,male,no
crew,43,male,no
crew,67,male,no
crew,40,male,no
crew,49,male,no
crew,66,male,no
crew,51,male,no
crew,80,male,no
crew,82,male,no
crew,48,male,no
crew,40,male,no
crew,45,male,no
crew,58,male,no
crew,41,male,no
crew,62,male,no
crew,74,male,no
crew,77,male,no
crew,59,male,no
crew,73,male,no
crew,56,male,no
crew,56,male,no
crew,42,male,no
crew,51,male,no
crew,83,male,no
crew,74,male,no
crew,60,male,no
crew,75,male,no
crew,58,male,no
crew,62,male,no
crew,78,male,no
crew,40,male,no
crew,57,male,no
crew,67,male,no
crew,58,male,no
crew,57,male,no
crew,63,male,no
crew,55,male,no
crew,75,male,no
crew,38,male,no
crew,74,male,no
crew,73,male,no
crew,41,male,no
crew,46,male,no
crew,61,male,no
crew,61,male,no
crew,53,male,no
crew,53,male,no
crew,69,male,no
crew,80,male,no
crew,71,male,no
crew,43,male,no
crew,67,male,no
crew,42,male,no
crew,61,male,no
crew,36,male,no
crew,37,male,no
crew,40,male,no
crew,40,male,no
crew,70,male,no
crew,53,male,no
crew,53,male,no
crew,45,male,no
crew,50,male,no
crew,64,male,no
crew,57,male,no
crew,77,male,no
crew,62,male,no
crew,47,male,no
crew,41,male,no
crew,80,male,no
crew,62,male,no
crew,75,male,no
crew,45,male,no
crew,76,male,no
crew,76,male,no
crew,36,male,no
crew,81,male,no
crew,36,male,no
crew,74,male,no
crew,56,male,no
crew,41,male,no
crew,50,male,no
crew,57,male,no
crew,58,male,no
crew,79,male,no
crew,55,male,no
crew,65,male,no
crew,45,male,no
crew,79,male,no
crew,54,male,no
crew,82,male,no
crew,58,male,no
crew,44,male,no
crew,50,male,no
crew,44,male,no
crew,61,male,no
crew,38,male,no
crew,36,male,no
crew,72,male,no
crew,45,male,no
crew,47,male,no
crew,61,male,no
crew,44,male,no
crew,49,male,no
crew,52,male,no
crew,75,male,no
crew,46,male,no
crew,55,male,no
crew,74,male,no
crew,63,male,no
crew,67,male,no
crew,56,male,no
crew,45,male,no
crew,83,male,no
crew,53,male,no
crew,50,male,no
crew,63,male,no
crew,76,male,no
crew,65,male,no
crew,75,male,no
crew,47,male,no
crew,36,male,no
crew,45,male,no
crew,77,male,no
crew,56,male,no
crew,38,male,no
crew,80,male,no
crew,60,male,no
crew,43,male,no
crew,69,male,no
crew,58,male,no
crew,77,male,no
crew,62,male,no
crew,50,male,no
crew,59,male,no
crew,65,male,no
crew,52,male,no
crew,48,male,no
crew,50,male,no
crew,71,male,no
crew,76,male,no
crew,37,male,no
crew,73,male,no
crew,44,male,no
crew,77,male,no
crew,83,male,no
crew,82,male,no
crew,54,male,no
crew,56,male,no
crew,36,male,no
crew,44,male,no
crew,45,male,no
crew,59,male,no
crew,42,male,no
crew,82,male,no
crew,36,male,no
crew,74,male,no
crew,45,male,no
crew,41,male,no
crew,73,male,no
crew,45,male,no
crew,79,male,no
crew,44,male,no
crew,69,male,no
crew,77,male,no
crew,74,male,no
crew,48,male,no
crew,47,male,no
crew,79,male,no
crew,43,male,no
crew,66,male,no
crew,70,male,no
crew,50,male,no
crew,64,male,no
crew,45,male,no
crew,48,male,no
crew,65,male,no
crew,65,male,no
crew,42,male,no
crew,78,male,no
crew,41,male,no
crew,61,male,no
crew,71,male,no
crew,48,male,no
crew,53,male,no
crew,75,male,no
crew,53,male,no
crew,47,male,no
crew,39,male,no
crew,49,male,no
crew,49,male,no
crew,79,male,no
crew,74,male,no
crew,41,male,no
crew,69,male,no
crew,62,male,no
crew,40,male,no
crew,69,male,no
crew,82,male,no
crew,64,male,no
crew,66,male,no
crew,46,male,no
crew,38,male,no
crew,73,male,no
crew,41,male,no
crew,63,male,no
crew,47,male,no
crew,68,male,no
crew,50,male,no
crew,66,male,no
crew,63,male,no
crew,53,male,no
crew,41,male,no
crew,69,male,no
crew,53,male,no
crew,75,male,no
crew,41,male,no
crew,53,male,no
crew,79,male,no
crew,65,male,no
crew,55,male,no
crew,56,male,no
crew,74,male,no
crew,69,male,no
crew,63,male,no
crew,82,male,no
crew,41,male,no
crew,42,male,no
crew,68,male,no
crew,55,male,no
crew,72,male,no
crew,59,male,no
crew,66,male,no
crew,77,male,no
crew,78,male,no
crew,81,male,no
crew,58,male,no
crew,66,male,no
crew,45,male,no
crew,68,male,no
crew,61,male,no
crew,54,male,no
crew,40,male,no
crew,49,male,no
crew,40,male,no
crew,55,male,no
crew,39,male,no
crew,42,male,no
crew,60,male,no
crew,48,male,no
crew,74,male,no
crew,75,male,no
crew,69,male,no
crew,79,male,no
crew,36,male,no
crew,47,male,no
crew,76,male,no
crew,71,male,no
crew,76,male,no
crew,74,male,no
crew,79,male,no
crew,76,male,no
crew,52,male,no
crew,45,male,no
crew,59,male,no
crew,51,male,no
crew,36,male,no
crew,38,male,no
crew,36,male,no
crew,43,male,no
crew,80,male,no
crew,55,male,no
crew,76,male,no
crew,57,male,no
crew,63,male,no
crew,60,male,no
crew,40,male,no
crew,82,male,no
crew,47,male,no
crew,55,male,no
crew,74,male,no
crew,71,male,no
crew,77,male,no
crew,46,male,no
crew,66,male,no
crew,38,male,no
crew,83,male,no
crew,74,male,no
crew,43,male,no
crew,42,male,no
crew,36,male,no
crew,44,male,no
crew,72,male,no
crew,51,male,no
crew,40,male,no
crew,58,male,no
crew,76,male,no
crew,52,male,no
crew,40,male,no
crew,39,male,no
crew,65,male,no
crew,49,male,no
crew,67,male,no
crew,59,male,no
crew,57,male,no
crew,66,male,no
crew,77,male,no
crew,72,male,no
crew,81,male,no
crew,44,male,no
crew,61,male,no
crew,53,male,no
crew,58,male,no
crew,71,male,no
crew,55,male,no
crew,73,male,no
crew,62,male,no
crew,55,male,no
crew,79,male,no
crew,36,male,no
crew,57,male,no
crew,64,male,no
crew,57,male,no
crew,36,male,no
crew,77,male,no
crew,73,male,no
crew,48,male,no
crew,71,male,no
crew,45,male,no
crew,49,male,no
crew,65,male,no
crew,64,male,no
crew,39,male,no
crew,71,male,no
crew,82,male,no
crew,71,male,no
crew,57,male,no
crew,78,male,no
crew,51,male,no
crew,76,male,no
crew,71,male,no
crew,52,male,no
crew,43,male,no
crew,83,male,no
crew,75,male,no
crew,44,male,no
crew,78,male,no
crew,67,male,no
crew,75,male,no
crew,59,male,no
crew,49,male,no
crew,77,male,no
crew,70,male,no
crew,57,male,no
crew,59,male,no
crew,59,male,no
crew,80,male,no
crew,64,male,no
crew,53,male,no
crew,68,male,no
crew,46,male,no
crew,78,male,no
crew,62,male,no
crew,40,male,no
crew,37,male,no
crew,75,male,no
crew,57,male,no
crew,75,male,no
crew,51,male,no
crew,50,male,no
crew,41,male,no
crew,82,male,no
crew,36,male,no
crew,50,male,no
crew,67,male,no
crew,70,male,no
crew,47,male,no
crew,49,male,no
crew,50,male,no
crew,47,male,no
crew,55,male,no
crew,44,male,no
crew,40,male,no
crew,52,male,no
crew,44,male,no
crew,36,male,no
crew,55,male,no
crew,81,male,no
crew,78,male,no
crew,38,male,no
crew,51,male,no
crew,76,male,no
crew,73,male,no
crew,52,male,no
crew,62,male,no
crew,50,male,no
crew,62,male,no
crew,67,male,no
crew,82,male,no
crew,65,male,no
crew,64,male,no
crew,74,male,no
crew,70,male,no
crew,38,male,no
crew,55,male,no
crew,62,male,no
crew,37,male,no
crew,62,male,no
crew,82,male,no
crew,83,male,no
crew,79,male,no
crew,68,male,no
crew,82,male,no
crew,80,male,no
crew,63,male,no
crew,36,male,no
crew,50,male,no
crew,50,male,no
crew,58,male,no
crew,42,male,no
crew,53,male,no
crew,72,male,no
crew,45,male,no
crew,69,male,no
crew,70,male,no
crew,72,male,no
crew,54,male,no
crew,70,male,no
crew,72,male,no
crew,47,male,no
crew,58,male,no
crew,59,male,no
crew,80,male,no
crew,67,male,no
crew,78,male,no
crew,52,male,no
crew,70,male,no
crew,63,male,no
crew,58,male,no
crew,72,male,no
crew,80,male,no
crew,70,male,no
crew,82,male,no
crew,59,male,no
crew,78,male,no
crew,61,male,no
crew,60,male,no
crew,52,male,no
crew,79,male,no
crew,56,male,no
crew,48,male,no
crew,72,male,no
crew,49,male,no
crew,47,male,no
crew,67,male,no
crew,62,male,no
crew,53,male,no
crew,48,male,no
crew,83,male,no
crew,79,male,no
crew,70,male,no
crew,55,male,no
crew,37,male,no
crew,46,male,no
crew,62,male,no
crew,55,male,no
crew,56,male,no
crew,48,male,no
crew,41,male,no
crew,45,male,no
crew,72,male,no
crew,42,male,no
crew,52,male,no
crew,76,male,no
crew,47,male,no
crew,42,male,no
crew,78,male,no
crew,39,male,no
crew,44,male,no
crew,67,male,no
crew,61,male,no
crew,83,male,no
crew,75,male,no
crew,62,male,no
crew,75,male,no
crew,69,male,no
crew,37,male,no
crew,74,male,no
crew,58,male,no
crew,43,male,no
crew,71,male,no
crew,78,male,no
crew,82,male,no
crew,81,male,no
crew,69,male,no
crew,76,male,no
crew,74,male,no
crew,56,male,no
crew,48,male,no
crew,59,male,no
crew,58,male,no
crew,69,male,no
crew,80,male,no
crew,54,male,no
crew,47,male,no
crew,65,male,no
crew,37,male,no
crew,41,male,no
crew,82,male,no
crew,77,male,no
crew,41,male,no
crew,72,male,no
crew,43,male,no
crew,59,male,no
crew,46,male,no
crew,50,male,no
crew,67,male,no
crew,53,male,no
crew,53,male,no
crew,55,male,no
crew,37,male,no
crew,52,male,no
crew,83,male,no
crew,36,male,no
crew,47,male,no
crew,38,male,no
crew,75,male,no
crew,82,male,no
crew,70,male,no
crew,63,male,no
crew,65,male,no
crew,62,male,no
crew,39,male,no
crew,78,male,no
crew,67,male,no
crew,70,male,no
crew,43,male,no
crew,67,male,no
crew,50,male,no
crew,43,male,no
crew,59,male,no
crew,57,male,no
crew,55,male,no
crew,56,male,no
crew,71,male,no
crew,56,male,no
crew,63,male,no
crew,41,male,no
crew,67,male,no
crew,43,male,no
crew,49,male,no
crew,47,male,no
crew,44,male,no
crew,77,male,no
crew,71,male,no
crew,82,male,no
crew,56,male,no
crew,76,male,no
crew,45,male,no
crew,58,male,no
crew,55,male,no
crew,56,male,no
crew,43,male,no
crew,40,male,no
crew,44,male,no
crew,40,male,no
crew,45,male,no
crew,55,male,no
crew,36,male,no
crew,50,male,no
crew,67,male,no
crew,83,male,no
crew,60,male,no
crew,67,male,no
crew,65,male,no
crew,81,male,no
crew,52,male,no
crew,56,male,no
crew,62,male,no
crew,41,male,no
crew,50,male,no
crew,70,male,no
crew,51,male,no
crew,51,male,no
crew,49,male,no
crew,73,male,no
crew,64,male,no
crew,47,male,no
crew,64,male,no
crew,59,male,no
crew,58,male,no
crew,64,male,no
crew,55,male,no
crew,43,male,no
crew,63,male,no
crew,81,male,no
crew,58,male,no
crew,49,male,no
crew,36,male,no
crew,58,male,no
crew,60,male,no
crew,82,male,no
crew,44,male,no
crew,73,male,no
crew,79,male,no
crew,63,male,no
crew,74,male,no
crew,38,male,no
crew,79,male,no
crew,81,male,no
crew,55,male,no
crew,53,male,no
crew,83,male,no
crew,53,male,no
crew,73,male,no
crew,77,male,no
crew,42,male,no
crew,67,male,no
crew,39,male,no
crew,44,male,no
crew,61,male,no
crew,78,male,no
crew,40,male,no
crew,46,female,yes
crew,71,female,yes
crew,44,female,yes
crew,70,female,yes
crew,49,female,yes
crew,49,female,yes
crew,41,female,yes
crew,47,female,yes
crew,71,female,yes
crew,45,female,yes
crew,46,female,yes
crew,42,female,yes
crew,72,female,yes
crew,39,female,yes
crew,64,female,yes
crew,70,female,yes
crew,65,female,yes
crew,51,female,yes
crew,76,female,yes
crew,78,female,yes
crew,61,female,no
crew,66,female,no
crew,56,female,no
